frame_number,mean_temperature,heat_range,image_filename,wav_filename
0,28.78541129039472,neutral,frame_000.png,frame_000.wav
1,26.742060738811954,neutral,frame_001.png,frame_001.wav
2,26.78811204671256,neutral,frame_002.png,frame_002.wav
3,26.454064059558174,neutral,frame_003.png,frame_003.wav
4,26.279827371934804,neutral,frame_004.png,frame_004.wav
5,26.34480945334279,neutral,frame_005.png,frame_005.wav
6,18.348871804900664,cold,frame_006.png,frame_006.wav
7,20.43214091267993,neutral,frame_007.png,frame_007.wav
8,22.81723455967651,neutral,frame_008.png,frame_008.wav
9,22.898143491937812,neutral,frame_009.png,frame_009.wav
10,22.75519817309983,neutral,frame_010.png,frame_010.wav
11,15.233099142715005,cold,frame_011.png,frame_011.wav
12,14.010626475391211,cold,frame_012.png,frame_012.wav
13,22.718483294615154,neutral,frame_013.png,frame_013.wav
14,22.249874223998248,neutral,frame_014.png,frame_014.wav
15,22.558063755824772,neutral,frame_015.png,frame_015.wav
16,22.49873834630384,neutral,frame_016.png,frame_016.wav
17,22.633372942807792,neutral,frame_017.png,frame_017.wav
18,22.504076333836753,neutral,frame_018.png,frame_018.wav
19,22.546864168042422,neutral,frame_019.png,frame_019.wav
20,22.137611735260037,neutral,frame_020.png,frame_020.wav
21,22.13221919103837,neutral,frame_021.png,frame_021.wav
22,22.330056001586744,neutral,frame_022.png,frame_022.wav
23,22.438415589443167,neutral,frame_023.png,frame_023.wav
24,22.731376532665763,neutral,frame_024.png,frame_024.wav
