frame_number,mean_temperature,heat_range,image_filename,wav_filename,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,29.04860178205658,neutral,frame_000.png,frame_000.wav,0,0,0,"cold:

hot:
"
1,10.970339872191671,cold,frame_001.png,frame_001.wav,1,1,0,"cold:
item1:6?26
hot:
"
2,10.004934643026836,cold,frame_002.png,frame_002.wav,1,1,0,"cold:
item1:5?26
hot:
"
3,11.363776928389484,cold,frame_003.png,frame_003.wav,1,1,0,"cold:
item1:24?49
hot:
"
4,10.561573362019315,cold,frame_004.png,frame_004.wav,1,1,0,"cold:
item1:24?49
hot:
"
5,12.381505223435104,cold,frame_005.png,frame_005.wav,2,2,0,"cold:
item1:30?35\nitem2:46?49
hot:
"
6,17.380976177671396,cold,frame_006.png,frame_006.wav,3,3,0,"cold:
item1:33?44\nitem2:46?46\nitem3:49?49
hot:
"
7,22.868393964759566,neutral,frame_007.png,frame_007.wav,0,0,0,"cold:

hot:
"
8,23.28893392733343,neutral,frame_008.png,frame_008.wav,0,0,0,"cold:

hot:
"
9,23.032390582698095,neutral,frame_009.png,frame_009.wav,0,0,0,"cold:

hot:
"
10,22.611686398730654,neutral,frame_010.png,frame_010.wav,0,0,0,"cold:

hot:
"
11,21.847606994917225,neutral,frame_011.png,frame_011.wav,0,0,0,"cold:

hot:
"
12,21.342898577133337,neutral,frame_012.png,frame_012.wav,0,0,0,"cold:

hot:
"
13,21.185822851853235,neutral,frame_013.png,frame_013.wav,0,0,0,"cold:

hot:
"
14,18.89932589766351,cold,frame_014.png,frame_014.wav,0,0,0,"cold:

hot:
"
15,11.905656154035613,cold,frame_015.png,frame_015.wav,1,1,0,"cold:
item1:9?29
hot:
"
16,18.500718328978078,cold,frame_016.png,frame_016.wav,1,1,0,"cold:
item1:10?39
hot:
"
17,22.8807103092507,neutral,frame_017.png,frame_017.wav,0,0,0,"cold:

hot:
"
