frame_number,mean_temperature,heat_range,image_filename,wav_filename,cleaned_image,thermal_image,detected_items_counter,cold_items_counter,hot_items_counter,frame_result
0,25.628630654149948,neutral,frame_000.png,frame_000.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_000.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_000.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
1,23.987724586795725,neutral,frame_001.png,frame_001.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_001.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_001.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
2,24.47192370989522,neutral,frame_002.png,frame_002.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_002.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_002.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
3,25.14020039758717,neutral,frame_003.png,frame_003.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_003.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_003.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
4,24.78614656328666,neutral,frame_004.png,frame_004.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_004.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_004.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
5,25.1546948683729,neutral,frame_005.png,frame_005.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_005.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_005.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
6,25.407587610152316,neutral,frame_006.png,frame_006.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_006.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_006.png,1,1,0,"cold:
item1:(0, 49)
hot:
"
7,25.653207138168188,neutral,frame_007.png,frame_007.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_007.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_007.png,2,2,0,"cold:
item1:(0, 47)
item2:(49, 49)
hot:
"
8,25.843788895362717,neutral,frame_008.png,frame_008.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_008.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_008.png,1,1,0,"cold:
item1:(0, 44)
hot:
"
9,25.937158479463452,neutral,frame_009.png,frame_009.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_009.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_009.png,1,1,0,"cold:
item1:(0, 41)
hot:
"
10,26.191845290956536,neutral,frame_010.png,frame_010.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_010.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_010.png,1,1,0,"cold:
item1:(0, 33)
hot:
"
11,26.35589167148923,neutral,frame_011.png,frame_011.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_011.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_011.png,3,3,0,"cold:
item1:(1, 3)
item2:(5, 21)
item3:(27, 27)
hot:
"
12,26.433091732638065,neutral,frame_012.png,frame_012.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_012.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_012.png,5,5,0,"cold:
item1:(0, 2)
item2:(4, 4)
item3:(6, 9)
item4:(13, 15)
item5:(19, 21)
hot:
"
13,26.526975357312153,neutral,frame_013.png,frame_013.wav,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/cleaned/frame_013.png,/home/pi/ThermalSense/Results/ThermalSense/ThermalSense-2025-05-12_12-10-14/thermal/frame_013.png,1,1,0,"cold:
item1:(8, 8)
hot:
"
