object_count,temperature,heat_range
1,30.245452479859186,warm
2,26.871708284709257,neutral
3,49.08368124997685,hot
4,73.53622989613821,out of range
5,58.20273418352648,hot
6,37.05944066368126,warm
7,51.09986368113124,hot
8,59.53336318737576,hot
9,26.902446328940304,neutral
10,27.005858340337145,neutral
11,27.831309329836333,neutral
12,23.527085272201955,neutral
13,-8.694937466059228,very cold
14,-6.449406609347729,very cold
15,19.529788448659147,cold
16,-4.442538957972891,very cold
17,27.694475145484247,neutral
