object_count,temperature,heat_range,detected_object
1,26.01627510238188,neutral,frame_001.png
2,28.38390410858609,neutral,frame_002.png
3,29.157330497696194,neutral,frame_003.png
4,30.46155479830121,warm,frame_004.png
5,25.45487150304044,neutral,frame_005.png
6,26.65017599326948,neutral,frame_006.png
7,26.315866009945704,neutral,frame_007.png
8,30.630463754566733,warm,frame_008.png
9,25.97389232814487,neutral,frame_009.png
10,29.675251357929927,neutral,frame_010.png
11,29.96301134737445,neutral,frame_011.png
12,31.45090802251978,warm,frame_012.png
13,29.22161759505184,neutral,frame_013.png
14,26.348128961985413,neutral,frame_014.png
15,27.246599526120807,neutral,frame_015.png
16,32.11595252583215,warm,frame_016.png
17,26.660057245907215,neutral,frame_017.png
18,26.60690259831422,neutral,frame_018.png
19,32.06340473809221,warm,frame_019.png
20,31.9509447965724,warm,frame_020.png
21,28.96615780552413,neutral,frame_021.png
22,26.108431170997665,neutral,frame_022.png
23,25.83749462436566,neutral,frame_023.png
24,26.0121300867485,neutral,frame_024.png
25,25.296783140107994,neutral,frame_025.png
26,25.004136715367537,neutral,frame_026.png
27,29.08522125799678,neutral,frame_027.png
28,27.3361358798518,neutral,frame_028.png
29,27.751011033728286,neutral,frame_029.png
30,27.729261227150044,neutral,frame_030.png
31,27.841459486700813,neutral,frame_031.png
32,26.81166766289286,neutral,frame_032.png
33,29.65854206639946,neutral,frame_033.png
34,32.9459494528011,warm,frame_034.png
35,25.899333827219195,neutral,frame_035.png
36,25.81762975562874,neutral,frame_036.png
37,26.022690582877868,neutral,frame_037.png
38,26.331496293620678,neutral,frame_038.png
